SETTING,MACS,MB_SZ,N_PARAMS,METRIC,batch_size,bidirectional,cnn_out_channels,device,gru_num_layers,hidden_size,kernel_size,keyword,learning_rate,n_mels,num_classes,num_epochs,sample_rate,stride,weight_decay
Base_5e-5,1867616.0,0.27299976348876953,70443.0,3.994079596044769e-05,128.0,False,8.0,cpu,2.0,64.0,"(5, 20)",sheila,0.0003,40.0,2.0,20.0,16000.0,"(2, 8)",1e-05
dqint8,159984.0,0.07870769500732422,808.0,3.924259289345645e-05,128.0,False,8.0,cpu,2.0,64.0,"(5, 20)",sheila,0.0003,40.0,2.0,20.0,16000.0,"(2, 8)",1e-05
DKD_16_4,150952.0,0.02977466583251953,6679.0,5.226378171546405e-05,128.0,False,4.0,cpu,2.0,16.0,"(5, 20)",sheila,0.0003,40.0,2.0,20.0,16000.0,"(2, 8)",1e-05
DKD_16_4 + dqint8,79992.0,0.014925956726074219,404.0,5.306940063891548e-05,128.0,False,4.0,cpu,2.0,16.0,"(5, 20)",sheila,0.0003,40.0,2.0,20.0,16000.0,"(2, 8)",1e-05
DKD_16_8,268960.0,0.04448413848876953,10539.0,5.403017579947608e-05,128.0,False,8.0,cpu,2.0,16.0,"(5, 20)",sheila,0.0003,40.0,2.0,50.0,16000.0,"(2, 8)",1e-05
DKD_32_8,434256.0,0.10112476348876953,25387.0,5.2884406663900705e-05,128.0,False,8.0,cpu,2.0,32.0,"(5, 20)",sheila,0.0003,40.0,2.0,50.0,16000.0,"(2, 8)",1e-05
DKD_32_4,278232.0,0.07323169708251953,18071.0,5.493127548422546e-05,128.0,False,4.0,cpu,2.0,32.0,"(5, 20)",sheila,0.0003,40.0,2.0,50.0,16000.0,"(2, 8)",1e-05
DKD_8_8,207432.0,0.02253246307373047,5035.0,7.448692890756134e-05,128.0,False,8.0,cuda:0,2.0,8.0,"(5, 20)",sheila,0.0003,40.0,2.0,50.0,16000.0,"(2, 8)",1e-05
DKD_8_16,405432.0,0.03876781463623047,9299.0,0.00012022221356927824,128.0,False,16.0,cuda:0,2.0,8.0,"(5, 20)",sheila,0.0003,40.0,2.0,50.0,16000.0,"(2, 8)",1e-05
DKD_16_16,504976.0,0.07288646697998047,18259.0,5.37019606825144e-05,128.0,False,16.0,cuda:0,2.0,16.0,"(5, 20)",sheila,0.0003,40.0,2.0,50.0,16000.0,"(2, 8)",1e-05
DKD_32_16,746304.0,0.15589427947998047,40019.0,5.019901025239594e-05,128.0,False,16.0,cuda:0,2.0,32.0,"(5, 20)",sheila,0.0003,40.0,2.0,50.0,16000.0,"(2, 8)",1e-05
DKD_64_4,701752.0,0.21772289276123047,56215.0,4.69466968206846e-05,128.0,False,4.0,cuda:0,2.0,64.0,"(5, 20)",sheila,0.0003,40.0,2.0,50.0,16000.0,"(2, 8)",1e-05
DKD_8_4,108432.0,0.015370368957519531,2903.0,0.00014606467836932586,128.0,False,4.0,cpu,2.0,8.0,"(5, 20)",sheila,0.0003,40.0,2.0,50.0,16000.0,"(2, 8)",1e-05
